web-scraper-order,web-scraper-start-url,desc_dep,precio_depa,pre
1615701738-15451,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=4,Departamento Dúplex en renta,"$14,000",14000
1615701729-15415,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=5,Departamento - Juriquilla,"$15,400",15400
1615701668-15215,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?page=1,"Renta de Departamento Amueblado, Excelente Ubicación - El Mirador","$11,500",11500
1615701747-15495,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=3,RENTA DE DEPARTAMENTO EN JURIQUILLA TOWERS,"$22,000",22000
1615701685-15284,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=10,Lindo Departamento en Renta. Juriquilla. FVR,"$23,500",23500
1615701713-15372,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=7,Departamento - Juriquilla,"$17,000",17000
1615701738-15452,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=4,Departamento amueblado cerca de UVM en renta Queretaro,"$14,000",14000
1615701668-15203,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?page=1,Departamento en Renta en El mirador,"$11,500",11500
1615701676-15246,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=11,Renta departamento 3 recamaras con amenidades,"$19,500",19500
1615701785-15603,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=2,"Departamento en renta en Natuur, San José el Alto","$18,100",18100
1615701747-15471,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=3,JURIQUILLA RENTA DEPARTAMENTO 3 RECAMARAS COCINA EQUIPADA ALBERCA GYM,"$20,500",20500
