web-scraper-order,web-scraper-start-url,descrip,precio
1615707907-16808,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=5,Casa de 3 Recámaras en Renta Dentro de Privada en El Refugio SRM 21-3240,"$12,500"
1615707750-16375,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=2,"Casa en renta en Plazas del Sol, Qro.","$12,500"
1615707939-16890,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=2,Casa en Renta en El Refugio Querétaro,"$12,500"
1615707948-16939,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=1,CASA EN RENTA RESIDENCIAL EL REFUGIO,"$15,500"
1615707926-16880,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=3,Amplia casa en renta EL Refugio,"$14,000"
1615707874-16717,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=8,Casa sin amueblar en El Refugio con amplia cocina abierta y 142 mts2! RCS,"$13,000"
1615707820-16565,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=3,Amplia y hermosa casa en Renta en Juriquilla en privada con vigilancia JF,"$40,000"
1615707939-16907,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=2,Casa en Renta El Refugio,"$11,000"
1615707835-16633,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1,Casa en fraccionamiento exclusivo de 133 mts2 y cómodo! GOC 19-2077,"$11,500"
1615707862-16693,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=9,RENTA CASA AMUEBLADA REFUGIO,"$12,900"
1615707907-16801,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=5,Casa en renta El Refugio 3 habitaciones JGCC,"$12,500"
1615707896-16780,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=6,Casa en El Refugio de 4 dormitorios y 188 mts2! GOC 20-889,"$16,000"
1615707743-16348,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-rent/?currency=mxn%2F%3Fpage%3D3,"Casa Nueva en Renta Villa Carriedo, Querétaro","$25,000"
1615707835-16623,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1,"RENTA 4 RECAMARAS, 1 EN PLANTA BAJA, FRACC. ALTOS JURIQUILLA","$15,000"
1615707926-16881,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=3,Casa en privada con vigilancia 24 horas y 3 dormitorios! RAHQRO,"$13,000"
1615707939-16899,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=2,Casa en Renta en El Refugio en Condominio,"$11,000"
1615707802-16499,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5,Juriquilla - Casa en Renta - Residencial con control de acceso,"$15,000"
1615707750-16349,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=2,Casa en Renta. El Mirador. FVR,"$12,700"
1615707785-16494,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=6,"Casa en Renta en Juriquilla Calle San Simon Qt,(19-308Urb)","$19,000"
1615707785-16490,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=6,RENTA CASA JURIQUILLA QUERETARO NARANJOS/ TI-D,"$11,500"
1615707811-16528,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=4,RENTA DUPLEX PLANTA BAJA SAN ISIDRO JURIQUILLA QRO,"$7,500"
1615707774-16460,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=1,CASA EN RENTA,"$15,000"
1615707828-16594,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=2,"Casa moderna en renta, Valle de Juriquilla","$19,500"
1615707758-16392,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=1,Casa bonita en renta ubicada en El Mirador con 2 recámaras JF,"$11,500"
1615707828-16593,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=2,"RENTA 4 RECAMARAS, 1 EN PLANTA BAJA, FRACC. ALTOS JURIQUILLA","$15,000"
1615707758-16407,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=1,Casa en renta El Mirador 2 habitaciones AVH,"$11,000"
1615707820-16559,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=3,Casa amueblada  en renta en Juriquilla OFP 20 2136,"$17,500"
1615707916-16850,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4,Casa en renta en Alanna el Refugio 3 recamaras,"$13,000"
1615707785-16482,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=6,OPORTUNIDAD CONDOMINIO EN JURIQUILLA CON AMENIDADES MUY FAMILIAR.,"$15,000"
1615707896-16792,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=6,Casa en renta en El Refugio OFP 20 2579,"$10,500"
1615707907-16798,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=5,Casa en Renta en El Refugio. JGCC,"$13,500"
1615707774-16448,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=1,"Casa en El Milenio de 3 niveles, sin amoblar y 300 mts2! RAHQRO","$16,000"
1615707916-16839,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4,Gran casa en Renta. El Refugio. FVR,"$15,500"
1615707820-16572,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=3,"PRECIOSA CASA AMUEBLADA EN RESIDENCIAL PARAISO, JURIQUILLA","$16,000"
1615707862-16678,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=9,RENTA CASA AMUEBLADA 4 RECAMARAS,"$12,500"
1615707802-16507,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5,"CASA AMUEBLADA EN SANTA FE JURIQUILLA, QRO.CAISA","$26,000"
1615707750-16357,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=2,"A 5 minutos del centro de Qro 3 recams, cocina integral, Privada acceso controla","$9,000"
1615707766-16426,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=2,"Casa en Renta en calle cerrada, Loma Dorada, Queretaro.","$25,000"
1615707862-16686,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=9,Casa en renta sin amoblar en El Refugio de 3 dormitorios! ATC 20-1606,"$13,500"
1615707743-16321,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-rent/?currency=mxn%2F%3Fpage%3D3,RESIDENCIA EN RENTA EL CAMPANARIO,"$58,000"
1615707820-16584,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=3,Casa - Juriquilla,"$18,000"
1615707907-16819,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=5,Casa en renta El Refugio 3 habitaciones JGCC,"$15,500"
1615707828-16612,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=2,Casa en renta amueblada Olivar del Prado GGV#21-2635,"$9,500"
1615707926-16864,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=3,Casa en renta El Refugio 3 habitaciones JGCC,"$12,500"
1615707886-16753,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=7,Se renta casa en el refugio de 3 recamaras y 3 baños muy bien ubicada,"$11,000"
1615707802-16514,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5,Casa en renta Cumbres de Juriquilla,"$15,000"
1615707886-16759,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=7,"Casa en Renta Palazzo, El Refugio","$14,900"
1615707896-16791,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=6,RENTA CASA REFUGIO RESIDENCIAL,"$17,900"
1615707758-16391,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=1,Casa en el mirador amoblada y equipada con 3 dormitorios y 125 mts2! Rahqro,"$25,000"
