web-scraper-order,web-scraper-start-url,titulo,precio,metros
1620528175-12388,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/terreno/for-sale/?&page=3,TERRENO EN VENTA EN MILENIO III DE 612.71 M2,"$3,706,895",612
1620528229-12586,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=8,VENTA DE TERRENO EN SAN ISIDRO JURIQUILLA,"$18,989,300",3452
1620528358-12942,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?&page=1,Lote de uso mixto dentro de desarrollo comercial con 1405 mts2!,"$8,433,240",1405
1620528166-12353,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/terreno/for-sale/?currency=mxn,Construye tu casa en El Mirador,"$1,120,709",300
1620528213-12502,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=10,"Juriquilla Lote plusvalía en Venta, 468 mts. feliz ubicación","$3,201,120",468
1620528258-12674,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=5,"Terreno en venta desde Juriquilla hasta Los Olvera, Querétaro.","$2,500",null
1620528184-12438,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/terreno/for-sale/?&page=2,Terreno en venta en milenio Querétaro,"$1,288,430",235
1620528092-12126,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/terreno/for-sale/?&page=3,"TERRENO EN VENTA EN LOMA BONITA, QUERÉTARO","$3,500,000",1257
1620528350-12915,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?&page=2,Terreno en venta en el refugio AQC,"$1,450,000",122
1620528333-12855,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?&page=4,Ven a Vivir en El Refugio en Terrenos con El Mejor Lote y Mucho Más! Rah,"$8,110,828",911
1620528119-12231,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/terreno/for-sale/?&page=5,"TERRENO EN VENTA, EL CAMPANARIO, MAGNIFICA OPORTUNIDAD!","$6,500,000",768
1620528083-12089,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/terreno/for-sale/?currency=mxn,AV/ VENTA TERRENO COMERCIAL CENTRO SUR QUERETARO,"$14,800,000",1195
1620528203-12488,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=11,Venta terrenos real de juriquilla queretaro en esquina,"$1,385,000",369
1620528193-12447,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/terreno/for-sale/?&page=1,Terreno en Venta Home Coto Club en Milenio III Querétaro,"$2,300,000",258
1620528213-12523,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=10,Venta de TERRENO en condominio con amenidades. Juriquilla 261 m2 Qro.,"$14,462,600",261
1620528157-12335,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/terreno/for-sale/?&page=1,TERRENO PLANO EN VENTA EN EL CAMPANARIO (INCLUYE PROYECTO GRATIS),"$11,468,000",1113
1620528157-12334,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/terreno/for-sale/?&page=1,El Campanario terreno en esquina de 653 mts2! RCS,"$7,100,000",653
1620528258-12651,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=5,"Vive en zona más bonita y exclusiva de Juriquilla, terreno de 1000 mts2! JGJ","$5,250,000",1000
1620528100-12165,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/terreno/for-sale/?&page=2,"TERRENO EN VENTA EN CAMPESTRE JURICA, QRO.","$1,883",85000
1620528147-12308,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/terreno/for-sale/?&page=2,TERRENO EN VENTA PLANO  DE 955M2 UBICADO EN EL CAMPANARIO,"$8,119,000",955
1620528166-12356,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/terreno/for-sale/?currency=mxn,Lote residencial en venta GGV#21-298,"$705,000",130
1620528092-12118,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/terreno/for-sale/?&page=3,VENTA TERRENOS - EL SALITRE - QUERETARO,"$963,900",162
1620528213-12501,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=10,Terreno en Venta en Fraccionamiento Real de Juriquilla,"$1,250,000",286
1620528083-12092,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/terreno/for-sale/?currency=mxn,"VENTA DE TERRENO EN CENTRO SUR, ATENCIÓN CADENAS HOTELERAS, PLAZAS COMERCIALES, TIEND...","$190,000,000",12905
1620528358-12926,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?&page=1,Querétaro Sobre Fray Junípero Serra Terreno 1500m2 Esquina 2 Frentes  CMC21-024,"$8,700,000",1500
1620528083-12097,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/terreno/for-sale/?currency=mxn,"VENTA DE TERRENO EN CENTRO SUR, QUERÉTARO DE 6.82 HECTÁREAS","$5,000",68200
1620528157-12348,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/terreno/for-sale/?&page=1,TERRENO EN VENTA EN SAN ISIDRO EL CAMPANARIO QUERÉTARO,"$9,000,000",849
1620528238-12605,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=7,Macrolote en Venta en Juriquilla,"$117,624,000",29406
1620528157-12347,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/terreno/for-sale/?&page=1,Terreno en El Campanario de 653 mts2 y en zona completamente construida! RCS,"$6,900,000",653
1620528285-12716,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=3,TERRENO EN VENTA JURIQUILLA. QUERETARO. CAMPO DE GOLF,"$5,500,000",1000
1620528175-12390,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/terreno/for-sale/?&page=3,Terreno en Venta en Milenio 3a. Sección,"$7,423,000",1227
1620528157-12331,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/terreno/for-sale/?&page=1,¡¡ HERMOSO TERRENO EN ESQUINA DE 841M2 UBICADO EN EL CAMPANARIO !!,"$7,140,000",841
1620528065-12044,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/terreno/for-sale/?&page=2,"HERMOSO TERRENO  EN CUMBRES DEL LAGO JURIQUILLA, QRO. SUPERFICIE 279.95 MTS.","$4,400",279
1620528109-12188,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/terreno/for-sale/?&page=1,VENTA DE TERRENO EN JURICA QUERETARO,"$6,316,800",1128
1620528248-12644,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=6,Terreno en Venta en COLINAS DE JURIQUILLA QUERETARO,"$1,299,000",200
1620528324-12816,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?&page=5,Terreno en El Refugio de 122 mts2 y amenidades! RAHQRO 20-524,"$1,450,000",122
1620528109-12173,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/terreno/for-sale/?&page=1,TERRENO EN VENTA EN JURICA MUY AMPLIO,"$5,600,000",1000
1620528147-12311,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/terreno/for-sale/?&page=2,TERRENO EN VENTA EN EL CAMPANARIO QUERÉTARO,"$8,500,000",800
1620528137-12271,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/terreno/for-sale/?&page=3,LOTE RESIDENCIAL EN VENTA,"$8,300,000",807
1620528109-12175,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/terreno/for-sale/?&page=1,"TERRENO EN VENTA EN JURICA, PLANO Y BARDEADO, LISTO PARA CONSTRUIR HABITACIONAL","$4,800,000",600
1620528258-12658,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=5,Terreno en zona bonita y exclusiva de Juriquilla con 1000 mts2! JGJ,"$5,250,000",1000
1620528053-12008,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/terreno/for-sale/?&page=3,VENTA TERRENO 270 M PRECIO DE OPORTUNIDAD JURIQUILLA QUERETARO,"$1,174,500",270
1620528203-12470,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=11,TERRENO EN VENTA EN LOMAS DE JURIQUILLA,"$1,550,000",273
1620528333-12829,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?&page=4,"Venta terreno La Cima Residencial, Querétaro: alberca y casa club","$6,300",191
1620528258-12669,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=5,"Venta de terreno en inmejorable ubicación sobre Paseo de la República, Juriquilla","$11,400,000",2000
1620528193-12462,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/terreno/for-sale/?&page=1,"Terreno plurifamiliar. Milenio 3era Sección, Venta","$2,283,645",351
1620528333-12842,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?&page=4,Macrolote uso Mixto en Fray Junipero Serra,"$22,941,540",5098
1620528258-12672,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=5,"Terreno habitacional en Venta, en Juriquilla, Querétaro","$4,000,000",1000
1620528221-12551,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=9,"A una cuadra del campo de golf, Terreno en Juriquilla de 1000 mts2! JGJ","$5,250,000",1000
1620528043-11977,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/terreno/for-sale/?&page=4,"VENTA DE TERRENOS EN LA CUMBRE , CUMBRES DEL LAGO, QUERETARO","$1,480,000",null
1620528119-12212,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/terreno/for-sale/?&page=5,VENTA DE CASA EN CAMPANARIO,"$7,003,000",null
1620528129-12245,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/terreno/for-sale/?&page=4,"Terreno en Venta El Campanario, Querétaro","$15,041,640",1253
1620528147-12314,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/terreno/for-sale/?&page=2,VENTA DE TERRENO EN EL CAMPANARIO,"$17,500,000",1278
1620528175-12387,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/terreno/for-sale/?&page=3,"Venta de terreno habitacional en Milenio III, Querétaro","$3,706,895",612
1620528193-12445,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/terreno/for-sale/?&page=1,"Terreno habitacional en Venta, en Milenio 3a. Sección, Querétaro","$2,283,645",351
1620528248-12648,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=6,DOS LOTES RESIDENCIALES EN ESQUINA,"$2,766,000",387
1620528075-12071,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/terreno/for-sale/?&page=1,"TERRENO EN VENTA EN CUMBRES DEL LAGO PLANO, 354  M2","$2,150,000",354
1620528092-12116,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/terreno/for-sale/?&page=3,Venta de Macrolote en Fraccionamiento Jurica,"$8,300",10236
1620528175-12406,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/terreno/for-sale/?&page=3,"Terreno 251 m2, privada , amenidades, vista, servicios, Venta MILENIO III","$2,140,000",251
1620528229-12573,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=8,Terreno Cumbres del Lago 2a. ETAPA *,"$2,866,320",530
1620528311-12777,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=1,"Estupendo Terreno en GRAND JURIQUILLA, 300 m2, PLANO, de OPORTUNIDAD !!","$1,350,000",300
