web-scraper-order,web-scraper-start-url,titulo,precio,recamaras,mconstruidos
1620519414-4259,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=9,Hermosa Casa Juriquilla,"$6,500,000",3,1010
1620518199-1178,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=16,Se vende casa en fraccionamiento de cumbres del lago de 235 mts2 jpc,"$5,400,000",3,235
1620518742-2638,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?&page=2,"Hermosa casa en condominio con excelentes amenidades, seguridad y Precio JF","$2,500,000",3,180
1620518250-1357,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=10,Hermosa casa en cumbres del lago de 3 dormitorios y 235 mts2! Rahqro,"$4,500,000",3,235
1620519543-4628,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=36,Casa en venta  totalmente equipada con 4 recamaras y alberca en El Refugio YCC,"$2,625,000",4,110
1620518166-1066,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=20,Casa en venta de oportunidad en Juriquilla,"$3,750,000",3,300
1620518971-3158,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=46,DEPARTAMENTO VENTA JURIQUILLA GRAN RESERVA,"$1,774,000",2,89
1620518428-1938,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?&page=6,Casa en Jurica de 3 recamaras con closet! RAHQRO 20-3386,"$6,200,000",3,264
1620519211-3755,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=26,VENTA CASA CON USO DE SUELO COMERCIAL EN JURIQUILLA,"$4,500,000",3,250
1620519025-3243,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=43,CASA EN VENTA EN CUMBRES DEL LAGO QUERETARO,"$4,995,000",4,270
1620518296-1496,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=5,"Cumbres del lago, amplia casa con roof garden para la venta. Fvr","$2,680,000",4,196
1620519790-5411,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=10,"CASA EN VENTA 4 RECAMARAS  EN EL REFUGIO , QUERETARO","$2,550,000",4,167
1620518949-3095,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=48,"CASA NUEVA EN VENTA, UN PISO, 3 RECAMARAS EN SAN ISIDRO JURIQUILLA QRO. #20-847","$3,490,000",3,195
1620518199-1161,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=16,"Preciosa Casa en La Condesa Juriquilla, 3 Recámaras, 3.5 , Jardín, NUEVA !!","$3,250,000",3,195
1620518927-3016,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=50,"Venta de Casa de Buen Tamaño, Equipada - Juriquilla","$4,890,000",3,250
