web-scraper-order,web-scraper-start-url,titulo,precio
1618371226-4707,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=7,VENTA CASA EN CUMBRES DE JURIQUILLA 3 RECAMARAS 3 BAÑOS,"$2,495,000"
1618372027-6584,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=12,El Refugio casa de 3 niveles y 201 mts2! RAHQRO,"$3,869,698"
1618372418-7462,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=24,Casas en venta Gran Reserva Preserve Juriquilla Queretaro GPS,"$3,180,000"
1618371483-5445,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=34,"Venta de Casa en calle abierta El Refugio, Queretaro","$3,650,000"
1618372333-7312,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=28,Casas en venta Juriquilla Campestre Queretaro -GPS,"$4,300,000"
1618371828-6347,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=18,CASA EN VENTA CON ROOF GARDEN EN PROMOCIÓN EN ZONA DEL REFUGIO,"$2,402,000"
1618373027-8340,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=34,"Venta casa El Refugio, Querétaro: privada con alberca","$2,800,000"
1618372733-7932,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=9,"Cumbres del Lago - Casa en residencial, seguridad, amenidades","$3,429,000"
1618371733-6141,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=22,Casa en venta El Refugio 3 habitaciones JRH,"$3,190,749"
1618368391-84,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=21,"Residencia en venta, Cumbres del Lago, 3 recámaras con baño, Estudio, Jardín..","$5,100,000"
1618371043-4203,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-sale/?page=9,VENTA CASA CAMPANARIO OPORTUNIDAD,"$16,800,000"
1618371169-4563,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-sale/?page=3,Casa en venta El Campanario 4 habitaciones JGCC,"$19,990,000"
1618372754-7937,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=8,Casa en PREVENTA,"$1,918,400"
1618368526-227,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=16,"CASA NUEVA EN PRIVADA CON ROOF  EN QUERÉTARO 3,544,920.00 M.N.","$3,544,920"
1618373069-8406,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=32,"Casa de 3 Recamaras, Equipada en El Refugio Querétaro  20-3370","$2,380,000"
1618370391-2455,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=46,VENTA CASAS QUERÉTARO JURIQUILLA LA MESA,"$4,750,000"
1618372333-7334,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=28,Juriquilla. Casa de Segunda Mano con Amplio Jardín y Cuarto de Servicio - Venta,"$8,900,000"
1618370639-3056,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=2,PRECIOSA CASA  NUEVA EN VENTA EN PRIVADA DE CUMBRES DEL LAGO JURIQUILLA,"$3,650,000"
1618371316-4990,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?page=6,Casa en esquina de 4 dormitorios en El Mirador de 311 mts2! RAHQRO,"$5,000,000"
1618372050-6654,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=41,Mattía Residencial cuenta con las características ideales para el estilo de vida que ...,"$3,034,269"
1618368416-114,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=20,VENTAS CASAS QUERETARO CUMBRES DEL LAGO YURIRIA,"$4,500,000"
1618370606-2983,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=36,Casa en venta con alberca en JURIQUILLA Querétaro,"$2,150,000"
1618372775-7975,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=7,"Hermosa Residencia de Autor en San Francisco Juriquilla, Gran Jardín, 8 Autos..","$8,700,000"
1618371460-5370,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=35,3 recamaras,"$3,480,000"
1618370156-2136,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?page=7,"Estupenda, Amplia y Moderna Casa en Desarrollo de 4 Viviendas,Exclusiva Zona","$2,750,000"
1618368758-546,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=12,"Casa en Venta en Lago Zumpango, Cumbres del Lago, Juriquilla,  Queretaro","$5,700,000"
1618371571-5695,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?page=4,Casa en venta en mienio de 4 recamaras y 4 baños jardin muy amplio,"$4,750,000"
1618370649-3104,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=34,Casa en venta Juriquilla 3 habitaciones JGCC,"$13,500,000"
1618370810-3531,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=10,Casa en venta Jurica 3 habitaciones JGCC,"$6,200,000"
1618371483-5420,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=34,Casa en venta El Refugio 3 habitaciones JRH,"$3,590,000"
1618370713-3267,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=31,Casa amplia en Juriquilla de 3 dormitorios y 312 mts2! RAHQRO,"$4,150,000"
