web-scraper-order,web-scraper-start-url,titulo,precio,recamaras,baños,mconstruidos
1620516774-100,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=5,"Departamento en Renta, en Centro Sur, Querétaro","$20,000",2,2,150
1620516781-140,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=4,"Hermoso departamento de 90mts2 en renta, En centro sur","$23,000",2,2,157
1620516966-850,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=1,"Departamento en renta en Juriquilla, Querétaro","$15,000",2,2,91
1620516811-255,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/departamento/for-rent/?currency=mxn,RENTA DE DEPARTAMENTO EN ARCO DE PIEDRA,"$20,500",2,2,115
1620516919-676,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=7,"Estrene departamento de lujo en Venta o Renta, amueblado en Juriquilla Querétaro","$17,000",2,2,91
1620516888-536,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=11,Altos de Juriquilla departamento de 2 recamaras y 109 mts2! JGJ,"$14,500",2,2,109
1620516750-23,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?&page=2,"Rent Depa Amueblado y Servicios, vista y seguridad Cum. Del Lago Juriquilla JF","$27,500",3,3,232
1620516805-237,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=1,EXCELENTE DEPARTAMENTO PARA EJECUTIVOS EN RENTA UBICADO EN CENTRAL PARK,"$23,000",2,2,168
1620516857-432,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?&page=1,Departamento en renta en Queretaro JL 201961,"$12,515",2,2,85
1620516935-725,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=5,Habitarea Towers Departamento Amueblado,"$23,000",3,2,null
1620516805-210,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=1,Rento departamento amueblado en central park. Qro,"$21,500",2,2,149
1620516781-139,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=4,Centro Sur - Departamento en renta con excelente ubicación,"$14,000",2,2,87
1620516951-789,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=3,BIOSFERA TOWERS Departamento amueblado torre D piso 11 magnfica vista,"$29,000",3,2,130
1620516865-460,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?&page=3,Renta departamento Milenio Querétaro,"$30,000",2,2,134
1620516984-897,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?&page=2,DEPA AMUEBLADO EN NATUUR REFUGIO,"$21,000",3,2,129
1620516976-889,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?&page=3,Querétaro  El Refugio increíble departamento en renta,"$15,900",3,3,157
1620516991-948,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?&page=1,Departamento en Renta en El Refugio  Residencial,"$17,500",3,4,250
